Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Congo, Dem. Rep.",COD,-14460000,94190399.9,1697585830.80626,1499572152.49797,1165720010.30767,932374669.380907,1047979482.55526,1407563588.42423,1350994226.20535,1498084807.8648,1677673789.73561,1845773308.6
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Congo, Rep.",COG,22551558.2,-98141674.3463606,1878859499.34966,2891102397.12388,4279839199.11278,50608700.3526123,4416953733.854,4315250918.3882,-1427679257.05894,-1983178866.50125,531981391.2909,532256251.0334
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Costa Rica,CRI,162500000,723426415.264239,3205384976.80294,3242149796.9724,2955521680.83967,2620435490.61534,2924906990.98245,3014543618.02812,2719031329.42268,2103003648.9836,3592802258.09677,3560958051.05547
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cote d'Ivoire,CIV,48434429.6,234701731.519,407592122.101427,439356961.150901,494408755.776341,577871524.156215,975014998.795493,620330654.359791,848881139.442877,712915894.481616,1392435143.38301,1583694622.218
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Croatia,HRV,..,1015069996.97348,966014917.345737,3179819720.25664,35177680.9291985,423781033.377397,451346089.173737,1314767768.0783,3940753801.94997,1249365581.0805,4660184373.76559,3669271655.46538
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Curacao,CUW,..,..,-1508379.88826815,69296089.3854749,146435754.189944,133083798.882682,172681564.24581,126924996.849162,203230453.620112,155743256.268156,145700400.659218,140679716.648
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cyprus,CYP,126615461.385104,854874285.662107,25966316070.5419,51738978689.3285,28960532080.4595,8508203489.4198,14406568776.0425,-1110259659.48526,52834747335.586,-26023544826.6398,-33356590448.314,11132326695.6936
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Czechia,CZE,..,4987079129.26384,7357578652.57,8088661929.8803,1699914616.60242,10850612308.2062,11234740946.0941,8324668391.46793,10752120870.768,8515481807.56744,12890950336.4655,10529730878.5701
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Denmark,DNK,1132146349.95011,36013297907.195,680338945.938662,6577348986.65252,1850770714.86075,7804020827.15213,3607276299.51791,8764023726.34583,-3801733788.9774,-263702466.532691,18030756546.7655,27041426455.3017
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Djibouti,DJI,60000,3286049.48205333,286004467.676864,152998238.812521,143832186.404533,159997974.353059,164929861.974668,170000000,174999015.310515,158230011,166750130.823032,190854274.1387
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Dominica,DMA,12888888.8888889,17596296.2962963,17915757.4074074,12349892.8031702,7160376.50888889,42264926.1072222,22677207.693769,78283172.0287841,63039788.6853796,21535037.8346489,33778931.0109904,28215162.2222
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Dominican Republic,DOM,132800000,989000000,1599900000,2385300000,2227300000,2516100000,3597900000,2744500000,2829200000,2460600000,3349700000,3961600000
